feature,coefficient,direction
priors_count,1.539461251805743,-1.539461251805743
race_Other,1.327293867668547,-1.327293867668547
race_Hispanic,1.2027317260798887,-1.2027317260798887
race_Caucasian,0.9298881328415946,-0.9298881328415946
race_Asian,0.9151847428371622,-0.9151847428371622
sex_Male,0.36271527646905494,0.36271527646905494
race_Oriental,0.23774746027634494,-0.23774746027634494
race_Native American,0.1112411816127533,-0.1112411816127533
race_Arabic,0.033740421051188074,-0.033740421051188074
age,0.006412288518103033,0.006412288518103033
race_African-American,0.0004763785283701473,0.0004763785283701473
